OP_UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_PAX_ENP_110
04Q,Tradewind Aviation,13535,K,20,105
04Q,Tradewind Aviation,15024,K,9,38
04Q,Tradewind Aviation,13987,K,1,2
04Q,Tradewind Aviation,14843,K,626,3553
04Q,Tradewind Aviation,12197,K,21,109
04Q,Tradewind Aviation,10257,V,2,4
04Q,Tradewind Aviation,10874,V,1,1
04Q,Tradewind Aviation,10647,V,1,1
04Q,Tradewind Aviation,10577,V,1,3
04Q,Tradewind Aviation,10397,V,2,6
04Q,Tradewind Aviation,15030,V,1,3
04Q,Tradewind Aviation,10158,V,1,4
04Q,Tradewind Aviation,15041,V,1,3
04Q,Tradewind Aviation,10821,V,1,1
04Q,Tradewind Aviation,11641,V,1,2
04Q,Tradewind Aviation,10670,V,1,3
04Q,Tradewind Aviation,12397,V,2,7
04Q,Tradewind Aviation,10721,V,6,19
04Q,Tradewind Aviation,12108,V,1,8
04Q,Tradewind Aviation,10792,V,3,15
04Q,Tradewind Aviation,15628,V,1,1
04Q,Tradewind Aviation,12323,V,1,2
04Q,Tradewind Aviation,10171,V,1,4
04Q,Tradewind Aviation,13535,V,3,14
04Q,Tradewind Aviation,15024,V,4,11
04Q,Tradewind Aviation,10198,V,1,4
04Q,Tradewind Aviation,13731,V,3,5
04Q,Tradewind Aviation,13232,V,1,1
04Q,Tradewind Aviation,13984,V,1,4
04Q,Tradewind Aviation,15027,V,2,9
04Q,Tradewind Aviation,11042,V,1,1
04Q,Tradewind Aviation,14275,V,2,5
04Q,Tradewind Aviation,14255,V,1,7
04Q,Tradewind Aviation,12250,V,1,2
04Q,Tradewind Aviation,14488,V,1,2
04Q,Tradewind Aviation,11259,V,1,2
04Q,Tradewind Aviation,15427,V,2,8
04Q,Tradewind Aviation,12119,V,3,6
04Q,Tradewind Aviation,11503,V,2,3
04Q,Tradewind Aviation,14635,V,1,2
04Q,Tradewind Aviation,11615,V,2,2
04Q,Tradewind Aviation,10557,V,1,2
04Q,Tradewind Aviation,10374,V,1,1
04Q,Tradewind Aviation,11986,V,1,4
04Q,Tradewind Aviation,10529,V,1,4
04Q,Tradewind Aviation,14182,V,1,1
04Q,Tradewind Aviation,12391,V,1,8
04Q,Tradewind Aviation,14730,V,1,1
04Q,Tradewind Aviation,15356,V,1,3
04Q,Tradewind Aviation,13303,V,1,2
04Q,Tradewind Aviation,13463,V,1,3
04Q,Tradewind Aviation,11790,V,1,4
04Q,Tradewind Aviation,15070,V,1,4
04Q,Tradewind Aviation,10965,V,1,1
04Q,Tradewind Aviation,12478,V,1,1
04Q,Tradewind Aviation,14769,V,1,4
04Q,Tradewind Aviation,13505,V,1,8
04Q,Tradewind Aviation,13931,V,1,2
04Q,Tradewind Aviation,13861,V,1,7
04Q,Tradewind Aviation,14100,V,1,1
04Q,Tradewind Aviation,14122,V,2,5
04Q,Tradewind Aviation,14307,V,2,4
04Q,Tradewind Aviation,12348,V,1,2
04Q,Tradewind Aviation,14524,V,1,2
04Q,Tradewind Aviation,14576,V,1,3
04Q,Tradewind Aviation,15016,V,1,1
04Q,Tradewind Aviation,13125,V,2,13
04Q,Tradewind Aviation,13987,V,2,7
04Q,Tradewind Aviation,14843,V,139,640
04Q,Tradewind Aviation,12899,V,1,3
04Q,Tradewind Aviation,11775,V,1,3
04Q,Tradewind Aviation,12264,V,4,11
04Q,Tradewind Aviation,14027,V,6,13
04Q,Tradewind Aviation,12197,V,58,146
04Q,Tradewind Aviation,16091,V,1,3
04Q,Tradewind Aviation,10329,V,1,1
04Q,Tradewind Aviation,11456,V,2,8
04Q,Tradewind Aviation,12278,V,1,3
04Q,Tradewind Aviation,11764,V,9,36
04Q,Tradewind Aviation,10423,V,1,1
04Q,Tradewind Aviation,15167,V,45,118
04Q,Tradewind Aviation,10927,V,2,5
04Q,Tradewind Aviation,14259,V,2,9
04Q,Tradewind Aviation,14539,V,1,1
04Q,Tradewind Aviation,14802,V,1,1
04Q,Tradewind Aviation,15043,V,1,4
04Q,Tradewind Aviation,13008,V,1,6
04Q,Tradewind Aviation,13541,V,3,7
04Q,Tradewind Aviation,10154,V,6,12
04Q,Tradewind Aviation,11612,V,1,7
04Q,Tradewind Aviation,14875,V,1,5
04Q,Tradewind Aviation,11650,V,1,3
04Q,Tradewind Aviation,16525,V,1,3
04Q,Tradewind Aviation,10785,V,4,17
04Q,Tradewind Aviation,12153,V,1,4
04Q,Tradewind Aviation,15382,V,1,4
04Q,Tradewind Aviation,14711,V,1,8
04Q,Tradewind Aviation,10472,V,2,6
04Q,Tradewind Aviation,13184,V,1,2
04Q,Tradewind Aviation,12244,V,1,1
04Q,Tradewind Aviation,16883,V,1,3
04Q,Tradewind Aviation,10990,V,2,7
04Q,Tradewind Aviation,13898,V,1,3
04Q,Tradewind Aviation,12587,V,2,7
04Q,Tradewind Aviation,10419,V,1,1
04Q,Tradewind Aviation,10348,V,1,1
04Q,Tradewind Aviation,10540,V,23,62
04Q,Tradewind Aviation,12265,V,1,4
04Q,Tradewind Aviation,12124,V,1,4
04Q,Tradewind Aviation,12932,V,2,6
04Q,Tradewind Aviation,12884,V,1,2
04Q,Tradewind Aviation,10945,V,1,3
04Q,Tradewind Aviation,10519,V,3,10
04Q,Tradewind Aviation,13105,V,1,1
04Q,Tradewind Aviation,12222,V,1,2
04Q,Tradewind Aviation,13685,V,1,4
04Q,Tradewind Aviation,13398,V,5,22
04Q,Tradewind Aviation,15380,V,1,2
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10136,V,2,144
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10257,V,4,232
